,text,labels,predictions
0,Thats it.... like....I dont like that statue,Non_hope_speech,Non_hope_speech
1,@Generation X Counting money that she been given for promoting hysterical green agenda.,Non_hope_speech,Non_hope_speech
2,@Paola Hernandez i never said to be intolerant and hateful........ -_-,Non_hope_speech,Non_hope_speech
3,@Firstlast300 Wow An opinion is that I don't like a color,Non_hope_speech,Non_hope_speech
4,WOW!!!!!!!That was so so inspiring and incredible!!! THis speech has just saved my day,Hope_speech,Hope_speech
5,@FALC0n  Yea sorry I know Asian is an ethnicity not a race... I'm just trying to generalize🤦‍,Non_hope_speech,Non_hope_speech
6,Blm nooooooonnAsian racism,Non_hope_speech,Non_hope_speech
7,What is making you think they are trying to make black lives matter more. I’m confused,Non_hope_speech,Non_hope_speech
8,I dont agree with homosexualitynFirst of all you are homosexuality,Non_hope_speech,Non_hope_speech
9,@corinthia Long sorry not to fight about this,Non_hope_speech,Non_hope_speech
10,I got called a white saviour for saying reverse racism is wrong. Oh well. 🤷,Non_hope_speech,Non_hope_speech
11,I didn't say he does? Your type seem to be so upset by people saying they are triggered that you would make fun of trigger warnings yourselves,Non_hope_speech,Non_hope_speech
13,Annie is saying she doesn’t agree with LGBT but you obviously can tell she she is part of the LGBT,Non_hope_speech,Non_hope_speech
14,I hate how that's the thing that people lose their mind about when it comes to Trump! after all the racist and terrible shit he has said it doesn't even matter whether this is anti-Semitic or not.,Non_hope_speech,Non_hope_speech
15,This world needs love,Hope_speech,Hope_speech
16,@Zach Jerde no it just doesn't matter? Because who actually freaking cares?,Non_hope_speech,Non_hope_speech
17,Why don't all lives matter? Explain to me .-.,Non_hope_speech,Non_hope_speech
18,Repent. God loves the sinner but hates the sin. Don’t believe this creature of Satan. She’s going down and she’ll drag as many as she can with her.,Non_hope_speech,Non_hope_speech
19,I'm a Buddhist...!    ALL LIVES MATTER...!,Hope_speech,Hope_speech
20,@Skrezo well thats good if gays become illegal in US i would give a party to my whole city.i am from filthy india and live in beautiful UAE,Non_hope_speech,Non_hope_speech
21,One-armed Bandit absolutely spot on. I used to love this ‘women’. Angry I have been deceived. Now I see the man he is. Pushing Trans agenda,Non_hope_speech,Non_hope_speech
22,Ikr she looks like a butch lesbian or something,Non_hope_speech,Non_hope_speech
23,@Tony Mario If you want me to take your argument seriously,Non_hope_speech,Non_hope_speech
25,Can my dentist stay,Non_hope_speech,Non_hope_speech
26,link butt pls. every time.,Non_hope_speech,Non_hope_speech
27,I didnt see the 'survivor' part and i got mad.,Non_hope_speech,Non_hope_speech
28,Then let's take a look at how important LIFE is for BLM and what BLM is all about. nnA young woman and mother is shot by #BLM terrorists because she said #AllLivesMatter - and the mainstream is silent. nnQuotes,Non_hope_speech,Non_hope_speech
29,Sheriff Clark for president 2024!!,Non_hope_speech,Non_hope_speech
30,@fivedrock It's true isn't it? No matter what I say,Non_hope_speech,Non_hope_speech
31,Send them all back!!!!!!!!,Non_hope_speech,Non_hope_speech
33,Madonna looks stunning. I also love what she said about michael jackson.,Non_hope_speech,Non_hope_speech
34,@BJGvideos This is exactly what I meant.  He never once said that we need to keep kids sheltered and ignorant,Non_hope_speech,Non_hope_speech
35,Madonna is often criticized and looked down on because she is such a strong advocate for undeserved and neglected populations. It’s not only due to her provocative nature. I was waiting for Madonna to say that she is sexually fluid and/or bisexual when asked why she is such an advocate for the LGBT community. I’m not sure if she is or not but always thought she was/is.,Hope_speech,Hope_speech
36,I say we get rid of all racist tv shows,Non_hope_speech,Non_hope_speech
37,TheLegend27 Is Alive you’ve seen the comments in other threads talking about how she came out right,Non_hope_speech,Non_hope_speech
38,All life matter to China. BLM best for organs,Non_hope_speech,Non_hope_speech
40,Madonna forever. She is so genuine and candid. She is forever evolving.,Non_hope_speech,Non_hope_speech
41,Sunshine littlephilly    hesnnot your you are wrong about god i accept people that believe in it but i do not accept homophobic people they are just an disgrace to the world,Non_hope_speech,Non_hope_speech
42,thank you thats the point,Non_hope_speech,Non_hope_speech
43,typical kid who can't spell,Non_hope_speech,Non_hope_speech
45,It's the case for the loud minority,Non_hope_speech,Non_hope_speech
46,Those people are risking their lives,Non_hope_speech,Non_hope_speech
47,@Christina Lavinder More concerned about getting more women in STEM field rather than increasing the male graduation rate... So much for equality.,Hope_speech,Hope_speech
